name,story_count,types
Elsi,3,bat; rabbit; wren
Elspeth,3,witch
Ezra,3,carpenter; pike; sibling
Fifi,3,chick; deer; ferret
Finnian,3,wizard
Fudge,3,bear; ferret; pixie
Gideon,3,magician; marsh; trainee
Gleam,3,newt; fish
Hester,3,goat; puffin; rabbit
Hollis,3,apprentice; beekeeper; groundskeeper
Holly,3,horse; necromancer; rabbit
Ilya,3,cartographer; elf; moth; wolf
Imani,3,captain; drummer; ranger
Inkpot,3,raven; crab
Ishan,3,coder; courier; volunteer
Leofric,3,wizard
Luna,3,sheep; lemur
Mabli,3,witch
Marble,3,chicken; statue
Marigold,3,macaw; seal; unicorn
Marn,3,ogre; mole
Merry,3,meerkat; mouse; rabbit
Millie,3,mole; mouse; sheep
Mim,3,magpie; goblin
Minnow,3,catfish; glider; sprite
Minty,3,pig; pony; rabbit
Mist,3,cat; moth; owl
Misty,3,cat; mouse; pony
Moonbeam,3,bear; moth; pony; unicorn
Mossbeard,3,ogre
Ms. Quill,3,quill
Niblet,3,beetle; hamster; vole
Nixie,3,glider-pilot; hedgehog; nixie
Nuzzle,3,bear; koala; nutria
Omar,3,bear; bell; supervillain
Opaline,3,unicorn
Orrin,3,wizard; cat
Percy,3,mouse; parrot; pigeon
Perrin,3,horse; mole; otter
Pickle,3,rat; ogre
Plume,3,dragon; fairy; fox
Porridge,3,camel; ogre; opossum
Professor Inez,3,inez
Pru,3,penguin; pig; witch
Puff,3,dragon
Purl,3,spider; mermaid
Reed,3,raccoon; rabbit
Rollo,3,badger; ogre; raccoon
Rumble,3,ghost; giant; ogre
Rusty,3,dog; panda; robot
Sami,3,diplomat; rat; scholar
Sena,3,better; forecaster; whiz
Snowdrop,3,hare; sheep
Soren,3,badger; diver; skater
Sylvie,3,fox; mouse; seal
Tika,3,bear; gecko; parrot
Tink,3,dragon; fairy; robot
Toma,3,engineer; rabbit; recycler
Tomo,3,apprentice; herbalist; residence
Truffle,3,pig; bear
Tulip,3,deer; rabbit; terrier
Vela,3,astronomer; botanist; robot
Whisk,3,stoat; whale
Whisp,3,bat; fairy; microbot
Whisper,3,moth; sprite; wolf
Whistle,3,elf; shrew; wisp
Willa,3,goat; illustrator; vole
Winnie,3,witch; mouse
Acorn,2,squirrel
Aeron,2,elf
Agnes,2,apothecary; wizard
Alba,2,gull; wizard
Alban,2,wizard
Alden,2,wizard
Alia,2,ambassador; contestant
Ambrose,2,wizard
Anik,2,intern; shepherd
Anwen,2,keeper; ogre
Archie,2,alpaca
Auntie Byte,2,byte; robot
Becca,2,planner; witch
Benedict,2,memoirist; wizard
Benny,2,bat; bear
Beren,2,ferryman; lamplighter
Berry,2,bear; sprite
Bonnie,2,rabbit
Boon,2,bat; brownie
Boots,2,dog
Bracket,2,crow
Bramblefoot,2,ogre
Brass,2,goblin; robot
Briar,2,witch
Brin,2,archivist; badger
Brio,2,fairy; sprite
Brisk,2,goblin
Brum,2,ogre
Bruno,2,badger; mechanic
Buttercup,2,calf; rabbit
Caspian,2,crab; fog
Celine,2,climber; runner
Chip,2,chipmunk; robot
Coal,2,raven; troll
Cobb,2,beetle; robot
Cosmo,2,cat; corgi
Crick,2,pixie; sprite
Dewdrop,2,donkey; fairy
Dibble,2,goblin
Dolly,2,bear; mouse
Dorian,2,clerk; wizard
Dusty,2,mouse; rabbit; sprite
Dylan,2,duck; fox
Elise,2,apprentice; saleswoman
Elka,2,apprentice; otter
Elliot,2,marsh; probation
Ellis,2,collector; wizard
Fergus,2,ogre; troll
Fernsnout,2,ogre
Fox,2,dog; drone
Freckle,2,frog; squirrel
Freddie,2,fox; froglet
Gloss,2,raven
Goldie,2,capybara; goldfish
Gorren,2,ogre
Gossamer,2,fairy; moth
Gregor,2,hale; taker
Grom,2,ogre
Grub,2,goblin
Harper,2,illusionist; seal
Harun,2,artist; copyist
Hector,2,hamster; wizard
Helena,2,clerk; vos
Hilda,2,ogre
Ida,2,restorer; runner
Imri,2,actor; shepherd
Inky,2,mouse; octopus
Jae,2,diplomat; skater
Jem,2,otter; raccoon
Jett,2,cyclist; squirrel
Jo,2,baker; intern
Jory,2,guide; wizard
Joss,2,baker; translator
Kade,2,courier
Keira,2,cliff-runner; ranger
Kez,2,free-diver; pickpocket
Kiri,2,medic; rabbit
Leonie,2,guide; mechanic
Lionel,2,director; propagandist
Lira,2,elf
Loam,2,lemur; ogre
Lob,2,ogre
Lord,2,archaeologist; tyrant
Lorien,2,elf
Luc,2,baker; fighter
Magnus,2,wizard
Marda,2,ogre
Marlow,2,caver; marmot
Marmaduke,2,ogre
Marzipan,2,pixie; pony
Mateo,2,diver; historian
Maud,2,apprentice; sheep
Merrit,2,wizard
Mika,2,diver; sweep
Miko,2,monkey; sibling
Mirael,2,elf
Miren,2,elf; granddaughter
Miro,2,bellmaker; minotaur
Miss Amber,2,amber
Mop,2,bear; goblin
Mossy,2,frog; moose
Mr. Pine,2,pine
Mr. Sprig,2,snail; sprig
Mrs. Flint,2,flint
Muddle,2,goblin; wizard
Murmur,2,cat; mermaid
Nella,2,courier; mouse
Neral,2,wizard
Nettie,2,witch
Niall,2,wizard
Noir,2,raven
Ollo,2,alien; tortoise
Ori,2,rebelliou; yak
Parsnip,2,goat
Peaches,2,parrot; pony
Peb,2,lizard
Pella,2,fox; rat
Petr,2,mechanic
Pine,2,owl
Ping,2,bot
Pipette,2,bot
Pippit,2,rabbit; swallow
Plumthump,2,ogre
Pog,2,goblin
Pogo,2,skater
Pollen,2,bee
Pompom,2,poodle
Pounce,2,stoat
Prism,2,robot; seal
Rascal,2,rabbit; rat
Renzo,2,diver; geniu
Reverend,2,impresario; reformer
Rian,2,smuggler; thief
Riven,2,elf; falcon
Rumi,2,mouse; rat
Rusk,2,ferret; goblin
Rustle,2,panda; rat
Ruth,2,clerk; mouse
Sabine,2,glassblower; trader
Sage,2,sheep; sloth
Scoria,2,dragon
Sedge,2,goblin; lizard
Sef,2,poet; trainee
Selene,2,falcon; locksmith
Selka,2,elf; reindeer
Selkie,2,seal; singer
Seren,2,guide; wolf
Skitter,2,beetle; goblin
Skylark,2,falcon
Snib,2,goblin
Snip,2,pixie; troll
Snowy,2,sheep; swanling
Snug,2,bear; goblin
Sora,2,bunting; coder
Spindle,2,print-shop; spider
Star,2,owl; unicorn
Swoop,2,bat; sparrow
Tala,2,elf
Tallow,2,owl
Tariq,2,elm; mechanic
Tarn,2,goblin; ogre
Tawny,2,owl
Teddy,2,bear; tortoise
Thaddeus,2,wizard
Thistlefoot,2,ogre
Tick,2,robot; sim
Titch,2,goblin
Tock,2,crab; robot
Toot,2,beetle; mouse
Torque,2,robot; hawk
Trinket,2,fairy; lizard
Vega,2,postman; witch
Vex,2,imp; poltergeist
Victor,2,barrister; landlord
Violet,2,violinist; vole
Yasmin,2,climber; vet
Abigail,1,innkeeper-politician
Ada-Again,1,
Aelin,1,elf
Aelwen,1,elf
Aerin,1,elf
Agatha,1,witch
Ailsa,1,cadet
Alderman,1,moderniser
Alma,1,campaigner
Amber,1,alpaca
Amina,1,student
Amos,1,fraud
Anita,1,accountant
Anton,1,ferry
Arden,1,shipwright
Ariadne,1,forger
Arin,1,rook
Arlen,1,elf
Arthur,1,1890
Ashok,1,pilot
Astra,1,alien
Atlas,1,robot
Aunt Dot,1,dot
Aunt Etta,1,etta
Aunt Fern,1,fern
Aunt Hazel,1,hazel
Aunt Mabel,1,mabel
Aunt Pearl,1,pearl
Aunt Rue,1,rue
Aunt Sera,1,historian
Aunt Vi,1,aunt
Auntie Sol,1,association
Auri,1,mouse
Axiom,1,robot
Azra,1,chaser
BANNER,1,
Bardo,1,tortoise
Bark,1,drone
Baron,1,mouse
Basilisk,1,
Basim,1,welder
Bear-Bear,1,bear
Beatrice,1,bellmaker
Beatrix,1,otter
Becket,1,goat
Beni,1,capybara
Benno,1,guide
Bernard,1,support
Bert,1,goat
Bess,1,rabbit
Beta-Blue,1,robot
Bink,1,fairy
Bishop,1,strategist
Bit,1,jackdaw
Bleep,1,drone
Blinky,1,star
Bobby,1,bear
Bonus,1,buddy
Boo,1,rabbit
Bor,1,ogre
Boulder,1,ogre
Boz,1,apprentice
Brakka,1,ogre
Bran,1,diver
Brant,1,clerk
Branwen,1,elf
Brick,1,ogre
Brie,1,puffin
Brill,1,heron
Brisket,1,dragon
Brunna,1,ogre
Bubble,1,goldfish
Byte,1,robot
Caden,1,frog
Cadi,1,corgi
Cael,1,elf
Caelum,1,sculptor
Cai,1,runner
Calo,1,puffin
Candytuft,1,fairy
Caper,1,cat
Captain Ash,1,ash
Captain Bubble,1,goldfish
Captain Crank,1,robot
Captain Dock,1,dock
Captain Fern,1,rabbit
Captain Pebble,1,tortoise
Caro,1,wolf
Cassia,1,diver
Cassian,1,wizard
Cato,1,elf
Catrin,1,apprentice
Cedar,1,beaver
Celeste,1,founder
Celia,1,codebreaker
Celin,1,hare
Cerys,1,climber
Chestnut,1,squirrel
Chirp,1,chick
Choir,1,
Chomp,1,eel
Chorus,1,
Churn,1,
Cian,1,dockhand
Cinders,1,cat
Cinnamon,1,cat
Ciro,1,thief
Clack,1,
Clasp,1,drone
Clatter,1,robot
Clef,1,bat
Click,1,beetle
Clipboard,1,
Cloud,1,alpaca
Cloverpatch,1,unicorn
Coach Alder,1,alder
Coach Brim,1,brim
Coach Elm,1,elm
Coach Maple,1,maple
Coach Pippin,1,pippin
Coach Reed,1,reed
Cobalt,1,golem
Cocoa,1,bear
Colin,1,producer
Colonel,1,addict
Cometmane,1,unicorn
Constable,1,chair
Copper,1,dog
Cori,1,ghost
Crag,1,ogre
Cress,1,turtle
Cressida,1,duck
Crumpet,1,corgi
Cuddles,1,cat
Cue,1,rehearsal
Cupcake,1,cat
Custard,1,cat
Dae,1,intern
Dain,1,falconer
Dapplefoot,1,ogre
Datum,1,bot
Davin,1,engineer
Delia,1,chef
Deniz,1,script
Devan,1,ranger
Dewi,1,dolphin
Digger,1,mole
Dmitri,1,meteorologist
Dobby,1,donkey
Doctor Imani,1,xenobiologist
Domo,1,camel
Doran,1,donkey
Dori,1,otter
Dory,1,duck
Dottle,1,goblin
Dr. Bloom,1,bloom
Dr. Elm,1,elm
Dr. Hatch,1,hatch
Dr. Hollis,1,holli
Dr. North,1,north
Dr. Starling,1,starling
Dr. Wren,1,wren
Dren,1,jeweler
Drillbit,1,probe
Droplet,1,kelpie
Duncan,1,republic
Dune,1,dingo
Eamon,1,apprentice
Eben,1,elf
Echoform,1,
Edan,1,pigeon
Eddie,1,eel
Eden,1,pathfinder
Edgar,1,octopus
Edwin,1,philosopher
Elden,1,wizard
Eldon,1,wizard
Eleni,1,accountant
Elki,1,elf
Elm,1,elf
Elsa,1,clockmaker
Elske,1,miller
Emi,1,astronomer
Emine,1,courier
Emrik,1,engineer
Emrys,1,runner
Ephraim,1,keeper
Eryndor,1,elf
Eshan,1,diver
Esi,1,prodigy
Esker,1,deer
Ester,1,translator
Faelan,1,elf
Fawnie,1,deer
Fenella,1,witch
Fenna,1,heron
Ferno,1,yak
Ferris,1,crab
Fizzle,1,frog; wizard
Fizzwhisk,1,witch
Flicker,1,moth
Flit,1,alien
Fran,1,curator
Frances,1,critic
Gabe,1,drummer
Gamma,1,robot
Gannet,1,ogre
Gasket,1,goblin
Gear,1,robot
Gertie,1,goblin
Gib,1,goblin
Gimbal,1,robot
Ginger,1,pig
Gingersnap,1,cat
Glass,1,android
Glen,1,goat
Glister,1,
Gloria,1,influencer
Glowberry,1,fairy
Glowcap,1,sprite
Glowhorn,1,unicorn
Gran Elsie,1,elsie
Gran Hazel,1,hazel
Gran Mo,1,
Gran Willow,1,willow
Gran Wren,1,wren
Grax,1,monster
Grindle,1,gnome
Grisk,1,goblin
Gudge,1,seal
Gwen,1,rabbit
Halcy,1,elf
Hale,1,runner
Harbor,1,seal
Harriet,1,illustrator
Headteacher Birch,1,birch
Headteacher Moss,1,mos
Headteacher Stone,1,stone
Hearth,1,ogre
Hedra,1,shepherd
Herr,1,inspector
Hettie,1,parrot
Hexa,1,robot
Hobb,1,goat
HOBBES,1,
Holl,1,ogre
Honeybun,1,rabbit
Honeydrop,1,unicorn
Honeyfern,1,
Honk,1,gosling
Iko,1,drone
Ilan,1,elf
Iman,1,courier
Imi,1,hare
Ina,1,organiser
Indi,1,messenger
Indie,1,ink-maker
Indigo,1,dragon
Inspector,1,bungler
Io,1,runaway
Ion,1,robot
Iri,1,alien
Irra,1,alien
Isla,1,archivist
Isobel,1,witch
Jade,1,jackdaw
Jago,1,jackdaw
Jai,1,messenger
Jalen,1,sailor
Jan,1,lookout
Jemima,1,hedgehog
Jig,1,wizard
Jingle,1,elf
Joan,1,seamstres
Jon,1,guide
Jonen,1,groundskeeper
Jope,1,keeper
Junebug,1,beetle
Junie,1,otter
Junip,1,climber
Kaia,1,singer
Kaito,1,janitor
Kam,1,mechanic
Kei,1,runner
Keir,1,raven
Kelp,1,
Kepler,1,robot
Kester,1,kangaroo
Kestrin,1,falcon
Kett,1,goblin
Ketu,1,dragon
Kilo,1,robot
Kira,1,diver
Kiro,1,translator
Knurl,1,gnome
Kora,1,fisher
Kori,1,judge
Koru,1,seal
Kye,1,reporter
Lacewing,1,fairy
Lady Beatrice,1,archivist
Lady Honoria,1,landlord
Lady Isobel,1,host
Lady Mirabel,1,theatre
Ledger,1,
Leela,1,climber
Len,1,mole
Lens,1,telescope
Leona,1,inspector
Leopold,1,wizard
Levi,1,otter
Linden,1,elf
Linh,1,dao
Linus,1,wizard
Liora,1,elf
Liya,1,mayor
Lucia,1,hustle
Lucius,1,engineer
Luka,1,pathfinder
Luma,1,glowworm
Lumi,1,sheep
Lux,1,robot
Luz,1,codebreaker
Lysa,1,tea-smuggler
Mace,1,courier
Madame,1,medium
Maela,1,swimmer
Maelin,1,elf
Maeve,1,messenger
Maire,1,elf
Mako,1,meerkat
Mal,1,brother
Malcolm,1,ghost
Malik,1,historian
Marek,1,surveyor
Maren,1,scout
Margin,1,
Margot,1,alchemist
Marin,1,manatee
Maris,1,heron
Marker,1,robot
Maro,1,courier
Marta,1,investigator
Matron,1,innkeeper
Max,1,hero
Mel,1,streamer
Merek,1,ogre
Meringue,1,swan
Merryshins,1,ogre
Meru,1,lemur
Micro,1,bot
Mik,1,diver
Milan,1,apothecary
Min,1,magpie
Minta,1,witch
Mip,1,pixie
Miraan,1,wizard
Mirek,1,eel
Mirelle,1,otter
Miriam,1,singer
Miss Eaves,1,eave
Miss Finch,1,finch
Miss Grove,1,grove
Miss Harewood,1,harewood
Miss Lane,1,lane
Miss Penny,1,penny
Miss Pippin,1,pippin
Miss Rowan,1,director
Miss Thimble,1,thimble
Mneme,1,
Mnemo,1,archive
Modem,1,saint
Mog,1,goblin
Mogget,1,goblin
Mollymoss,1,witch
Moonbean,1,unicorn
Moonpetal,1,unicorn
Moonribbon,1,unicorn
Morrow,1,monster
Moru,1,panda
Mothball,1,cat
Mr. Ash,1,ash
Mr. Bell,1,bell
Mr. Bellamy,1,bellamy
Mr. Birch,1,birch
Mr. Dill,1,dill
Mr. Field,1,field
Mr. Holloway,1,holloway
Mr. Hugs,1,bear
Mr. Kite,1,kite
Mr. Larch,1,larch
Mr. Lark,1,inventor
Mr. Oak,1,oak
Mr. Pebble,1,pebble
Mr. Thorne,1,thorne
Mrs. Bell,1,oracle
Mrs. Bracken,1,bracken
Mrs. Clover,1,clover
Mrs. Dallow,1,dallow
Mrs. Dill,1,dill
Mrs. Fen,1,fen
Mrs. Hatch,1,hatch
Mrs. Hollow,1,hollow
Mrs. Mint,1,mint
Mrs. Porth,1,porth
Mrs. Quill,1,quill
Mrs. Tallow,1,tallow
Mrs. Yarrow,1,yarrow
Mugwort,1,ogre
Munch,1,marmot
Murk,1,goblin
Muru,1,ogre
Mx,1,critic
Naia,1,courier
Nara,1,mayor
Nerin,1,elf
Neve,1,sarin
Nicolette,1,cat
Nila,1,singer
Nilo,1,gardener
Noel,1,helper
Noura,1,quartermaster
Nubbin,1,hedgehog
Nuri,1,glaciologist
Oakley,1,owl
Oaty,1,pony
Octavia,1,senator
Olek,1,miner
Oli,1,duck
Olly,1,ogre
Ona,1,baker
Orbi,1,hoverbot
Orchid,1,octopus
Oriel,1,raven
Orris,1,witch
Orryn,1,elf
Oswin,1,wizard
Paddington,1,bear
Paradox,1,lab
Parcel,1,
Pask,1,capybara
Patches,1,
Patsy,1,panda
Paula,1,trainer
Pavel,1,optimist
Peaseblossom,1,bat
Pela,1,penguin
Pell,1,goblin
Pennycog,1,goblin
Pepa,1,ogre
Peppi,1,seal
Perran,1,pony
Perrie,1,rabbit
Perry,1,panda
Pesto,1,parakeet
Petalhorn,1,unicorn
Phoebe,1,investigator
Pika,1,glider
Pim,1,goblin
Pin,1,goblin
Pipsqueak,1,rat
Piri,1,dragon
Piston,1,robot
Plek,1,alien
Plink,1,frog
Plover,1,hare
Pock,1,goblin
Poggle,1,goblin
Pol,1,maker
Pola,1,marmot
Pop-Up,1,
Poppyseed,1,pony
Prax,1,engineer
Prince,1,collector
Professor Bell,1,collector
Professor Puff,1,pufferfish
Proxy,1,
Qel,1,alien
Quanta,1,robot
Queen,1,npc
Queenie,1,quail
Quilt,1,med-bay
Quince,1,goose
Quip,1,mouse
Rae,1,debater
Rainey,1,reindeer
Rana,1,captain
Rava,1,peacock
Ravi,1,tester
Reef,1,whale
Reg,1,health-
Relay,1,bot
Rex,1,cadet
Rexley,1,panda
Rho,1,fabricator
Rhoswen,1,elf
Rilo,1,hyena
River,1,rabbit
Rivet,1,robot
Roly,1,dog
Romi,1,badger
Romy,1,witch
Rooket,1,goblin
Rosamund,1,clerk
Ruan,1,apprentice
Rudi,1,tinkerer
Rue,1,dog; raccoon
Rufin,1,ringer
Rui,1,coder
Ruin,1,explorer
Rulph,1,ogre
Sablet,1,mole
Saffra,1,map
Salma,1,translator
Sam,1,cat
Sasha,1,otter
Saskia,1,gardener
Satin,1,rabbit
Scone,1,
Scrap,1,sorting-arm
Scribble,1,imp
Sebastian,1,portraitist
Sel,1,apprentice
Selah,1,mason
Sen,1,librarian
Seris,1,elf
Servo,1,robot
Servo-Mop,1,robot
Seth,1,champion
Shimmer,1,snake
Sia,1,medic
Sigma,1,robot
Sil,1,weather-reader
Silverstep,1,unicorn
Siofra,1,elf
Sir Aubrey,1,knight
Sir Hugo,1,legend
Sira,1,elf
Sister,1,record-keeper
Skarn,1,goblin
Skid,1,crow
Skim,1,jackdaw
Skip,1,frog
Snicket,1,goblin
Snoozy,1,sloth
Snuzzle,1,dragon
Socket,1,robot
Socks,1,dog
Song,1,skylark
Sooty,1,mouse
Sorin,1,elf
Splash,1,dolphin
Splinter,1,gull
Spoon,1,bot
Spoor,1,drone
Squeak,1,gerbil
Starbloom,1,unicorn
Starla,1,glowworm
Starlace,1,unicorn
Starlet,1,fairy
Starling,1,tern
Starry,1,bear
Stat,1,assistant
Static,1,dog
Statler,1,
Stitch,1,bear
Strobe,1,drone
Sugarplum,1,unicorn
Sunnydrop,1,sprite
Swarmmind,1,beta
Sylvi,1,wizard
Tabitha,1,witch
Tad,1,tiger
Tadgob,1,ogre
Talin,1,elf
Tallis,1,seller
Tamar,1,sheepdog
Tamsin-Gob,1,goblin
Tansel,1,goblin
Tansyspoon,1,goblin
Tao,1,courier
Tappet,1,gnome
Tarka,1,ogre
Tarquin,1,wizard
Tassel,1,fairy
Tav,1,miner
Teo,1,train
Teren,1,elf
Thalen,1,elf
Thane,1,elf
Thistledown,1,
Thorne,1,jaguar
Thornmaw,1,monster
Thud,1,donkey
Thumpkin,1,ogre
Tibble,1,goblin
Tibs,1,rat
Ticktock,1,
Tiki,1,umbrella
Tikka,1,goblin
Tiko,1,monster
Timmy,1,bear
Tin-Tin,1,robot
Tinny,1,beetle
Tint,1,mermaid
Tip,1,dragonfly
Tippet,1,vole
Tippy,1,turtle
Tizzy,1,genie
Tobit,1,drummer
Tocket,1,goblin
Tolla,1,goblin
Tomasin,1,maker
Toots,1,pig
Topsy,1,rabbit
Tori,1,climber
Torin,1,elf
Tova,1,mechanic
Tray,1,bot
Treacle,1,dragon
Tress,1,ogre
Trixie,1,magpie
Trundle,1,troll
Tsarina,1,enthusiast
Tula,1,ogre
Tullo,1,ogre
Tupp,1,ogre
Twangle,1,ghost
Twig,1,squirrel
Twinklehoof,1,unicorn
Twirl,1,sprite
Twitch,1,squirrel
Uncle Ned,1,ned
Uncle Ray,1,ray
Unit,1,robot
Vanta,1,cat
Vanya,1,elf
Vara,1,lynx
Vee,1,rival
Veer,1,robot
Velda,1,frog; witch
Vell,1,boar
Velvetmane,1,unicorn
Velvy,1,bat
Vexa,1,magpie
Vico,1,crow
Vik,1,geologist
Viktor,1,scout
Vita,1,pilot
Vivi,1,rabbit
Vorn,1,cook
Voss,1,raven
Wake,1,
Waldo,1,walrus
Wes,1,duck
Whiskers,1,rat
Wick,1,weasel
Wicket,1,donkey
Wilf,1,vole
Winifred,1,witch
Wish,1,sprite
Wix,1,goblin
Wob,1,goblin
Wrenk,1,goblin
Yarrow,1,yak
Yasin,1,poet-guide
Yorin,1,albatross
Ysabel,1,day
Ysla,1,witch
Ysolde,1,ogre
Ysra,1,jackdaw
Yuri,1,watcher
Yusuf,1,judge
Yvette,1,smuggler
Zane,1,runner
Zaren,1,yak
Zed,1,archivist
Zelie,1,seamstres
Zella,1,witch
Zeph,1,wizard
Zephra,1,messenger
Zephyr,1,cat
Zev,1,diver
Zip,1,swallow
